  STN,YYYYMMDD,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH
#
  375,20181116,   23,   40,   11,   10,    1,   60,   11,   39,  -22,    3
  375,20181117,   45,   60,   12,   30,    1,   90,   12,   33,  -16,    6
  375,20181118,   48,   70,   23,   30,    3,  130,   23,   22,  -22,    6
  375,20181119,   62,   80,   13,   20,    2,  140,   15,   45,   16,    2
  380,20181101,   35,   50,   20,   20,    1,   90,    9,   97,   73,    3
  380,20181102,   32,   60,    1,   10,   19,  110,    2,   73,   13,   24
  380,20181103,   21,   30,    1,   10,    9,   60,    8,   41,   -5,    5
  380,20181104,   18,   30,   12,    0,    4,   70,   15,   66,    0,    5
  380,20181105,   18,   40,   23,   10,    2,   90,   18,   89,   34,    6
  380,20181106,   30,   50,   20,   10,    6,   90,   19,  133,   90,    6
  380,20181107,   45,   60,    7,   30,    2,  110,    8,  116,   96,    6
  380,20181108,   33,   50,    4,   20,   13,   90,   20,   97,   61,   24
  380,20181109,   32,   50,   12,   20,    1,   90,   22,  105,   49,    1
  380,20181110,   58,   80,    6,   40,   14,  150,    7,  128,  118,    1
  380,20181111,   63,   90,   10,   40,   19,  140,   10,  118,  105,   23
  380,20181112,   27,   40,   24,   10,   11,   80,   21,  104,   87,   20
  380,20181113,   53,   80,    9,   30,    1,  140,   11,  100,   74,   24
  380,20181114,   26,   40,   11,   20,   14,  100,   20,   79,   28,   24
  380,20181115,   21,   30,    2,   10,    7,   70,    9,   59,    4,   23
  380,20181116,   22,   50,   18,   10,    1,   70,   17,   40,  -12,    8
  380,20181117,   49,   60,   11,   30,    1,  100,   12,   41,   13,    4
  380,20181118,   52,   60,    8,   40,   17,   90,    3,   18,  -14,    6
  380,20181119,   72,   90,   12,   40,    5,  160,   13,   33,   -9,    3
  240,20181101,   56,   70,   11,   40,    1,  100,    9,  103,   83,    7
  240,20181102,   50,   80,    2,   30,    5,  120,    1,   86,   38,   24
  240,20181103,   35,   60,   13,   20,    1,   80,   12,   54,   11,    4
  240,20181104,   34,   50,   11,   20,   15,   80,   11,   62,   19,    7
  240,20181105,   35,   50,   11,   20,   21,   80,   15,   79,   52,    5
  240,20181106,   38,   50,   10,   30,    1,   80,   10,  122,   65,    2
  240,20181107,   65,   80,   10,   50,    1,  130,   13,  108,   83,    6
  240,20181108,   44,   60,    1,   30,    8,  100,    1,   90,   50,   21
  240,20181109,   51,   70,   21,   40,    3,  100,   22,   92,   69,    1
  240,20181110,   68,   90,    3,   50,   16,  140,    5,  113,   91,   24
  240,20181111,   63,   90,   11,   30,   24,  140,   14,  109,   79,   24
  240,20181112,   41,   60,   21,   30,    1,   90,   21,  100,   80,    1
  240,20181113,   68,  100,   10,   40,   19,  150,   10,  102,   78,   24
  240,20181114,   43,   60,   14,   30,   17,   80,   12,   86,   59,   24
  240,20181115,   32,   40,    1,   20,   21,   60,    1,   73,   32,   24
  240,20181116,   28,   40,    2,   10,   16,   80,    8,   32,   -6,    6
  240,20181117,   49,   60,    9,   30,    1,  100,   18,   45,   13,    6
  240,20181118,   58,   80,   24,   40,    4,  120,   11,   38,    4,    8
  240,20181119,   82,  100,   24,   70,    1,  150,   21,   54,   36,   22
  286,20181101,   42,   60,    6,   30,   14,   90,    6,   93,   63,    3
  286,20181102,   52,   80,    5,   30,   18,  120,    6,   79,   22,   24
  286,20181103,   34,   50,   13,   30,    1,   80,   13,   42,    5,    6
  286,20181104,   30,   40,    9,   20,    1,   60,    9,   51,   -4,    7
  286,20181105,   35,   50,    8,   20,    2,   80,    6,   95,   54,    1
  286,20181106,   35,   60,   20,   20,    2,   80,   20,  110,   67,    7
  286,20181107,   44,   60,   12,   30,    3,  100,   13,  116,   76,    6
  286,20181108,   40,   60,    7,   20,   15,   90,    9,   84,   10,   22
  286,20181109,   43,   50,    3,   30,    1,   70,    3,   84,   25,    1
  286,20181110,   58,   90,   10,   40,   16,  140,   10,  116,   80,    1
